*******************************************************************************
JPL/HORIZONS                400 Ducrosa (A895 EC)          2024-Mar-06 03:16:19
Rec #:     400 (+COV) Soln.date: 2024-Feb-20_20:50:46   # obs: 7523 (1895-2023)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458038.5 ! 2017-Oct-12.00 (TDB)         Residual RMS= .21564
   EC= .1171973128335812   QR= 2.761975420412346   TP= 2457967.3104848517
   OM= 327.0945671225593   W=  238.0144560554914   IN= 10.52472729226289
   A= 3.128644101976641    MA= 12.67902518844627   ADIST= 3.495312783540937
   PER= 5.53404            N= .178102424           ANGMOM= .030217344
   DAN= 3.28991            DDN= 2.90531            L= 204.6706431
   B= -8.9126645           MOID= 1.77785003        TP= 2017-Aug-01.8104848517
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 18.0005            ROTPER= 6.8678
   H= 10.8                 G= .150                 B-V= n.a.
                           ALBEDO= .112            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#70, OCC=0
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Mar  6 03:16:19 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 400 Ducrosa (A895 EC)           {source: JPL#70}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Mar-05 10:00:00.0000 TDB
Stop  time      : A.D. 2024-Mar-05 10:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458038.5 ! 2017-Oct-12.00 (TDB)         Residual RMS= .21564        
   EC= .1171973128335812   QR= 2.761975420412346   TP= 2457967.3104848517      
   OM= 327.0945671225593   W=  238.0144560554914   IN= 10.52472729226289       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-2.061690270522693E+00  Y=-1.448381270914144E+00  Z=-1.159047910213425E+00
  VX= 6.970194741704374E-03 VY=-7.430142659432712E-03 VZ=-3.875638970356889E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 18.0005            ROTPER= 6.8678              
   H= 10.8                 G= .150                 B-V= n.a.                   
                           ALBEDO= .112            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458182.916666667, A.D. 2018-Mar-05 10:00:00.0000, -1.219946266293208E+08, -4.021869356578334E+08, -7.521921958886787E+07,  1.699971731721123E+01, -6.833559588736905E+00,  6.520883166719291E-01,  1.424185688734324E+03,  4.269601282740859E+08,  1.464878352827208E+00,
2458183.916666667, A.D. 2018-Mar-06 10:00:00.0000, -1.205250836082005E+08, -4.027748069491255E+08, -7.516240368653995E+07,  1.701744377197621E+01, -6.774566588422778E+00,  6.630915792429377E-01,  1.424608583639195E+03,  4.270869089770927E+08,  1.469856242946011E+00,
2458184.916666667, A.D. 2018-Mar-07 10:00:00.0000, -1.190540189919527E+08, -4.033575798171238E+08, -7.510463788935709E+07,  1.703493944811354E+01, -6.715540699513984E+00,  6.740765993983442E-01,  1.425032909795367E+03,  4.272141187584454E+08,  1.474810715667445E+00,
2458185.916666667, A.D. 2018-Mar-08 10:00:00.0000, -1.175814527142121E+08, -4.039352514638941E+08, -7.504592377969781E+07,  1.705220447700561E+01, -6.656482931792421E+00,  6.850432329884775E-01,  1.425458660448566E+03,  4.273417555932630E+08,  1.479741733653090E+00,
2458186.916666667, A.D. 2018-Mar-09 10:00:00.0000, -1.161074046970407E+08, -4.045078191786398E+08, -7.498626295235601E+07,  1.706923899514582E+01, -6.597394292539435E+00,  6.959913367716659E-01,  1.425885828833854E+03,  4.274698174534681E+08,  1.484649260258451E+00,
2458187.916666667, A.D. 2018-Mar-10 10:00:00.0000, -1.146318948504881E+08, -4.050752803374844E+08, -7.492565701446217E+07,  1.708604314410401E+01, -6.538275786511734E+00,  7.069207684156198E-01,  1.426314408175832E+03,  4.275983023078480E+08,  1.489533259535566E+00,
2458188.916666667, A.D. 2018-Mar-11 10:00:00.0000, -1.131549430721543E+08, -4.056376324032521E+08, -7.486410758540517E+07,  1.710261707049499E+01, -6.479128415918580E+00,  7.178313864983761E-01,  1.426744391688843E+03,  4.277272081221131E+08,  1.494393696235593E+00,
2458189.916666667, A.D. 2018-Mar-12 10:00:00.0000, -1.116765692467543E+08, -4.061948729252475E+08, -7.480161629675338E+07,  1.711896092595115E+01, -6.419953180392491E+00,  7.287230505093487E-01,  1.427175772577172E+03,  4.278565328589594E+08,  1.499230535803817E+00,
2458190.916666667, A.D. 2018-Mar-13 10:00:00.0000, -1.101967932456869E+08, -4.067469995390304E+08, -7.473818479217577E+07,  1.713507486709478E+01, -6.360751076951089E+00,  7.395956208510792E-01,  1.427608544035242E+03,  4.279862744781263E+08,  1.504043744365804E+00,
2458191.916666667, A.D. 2018-Mar-14 10:00:00.0000, -1.087156349266038E+08, -4.072940099661893E+08, -7.467381472736296E+07,  1.715095905550338E+01, -6.301523099969146E+00,  7.504489588407477E-01,  1.428042699247811E+03,  4.281164309364561E+08,  1.508833288724745E+00,
