*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Mar  6 03:16:53 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Mar-05 10:00:00.0000 TDB
Stop  time      : A.D. 2024-Mar-05 10:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460008.916666667, A.D. 2023-Mar-05 10:00:00.0000, -1.441203451174516E+08,  4.022109624387629E+07,  3.009374730101228E+04, -8.564026285859681E+00, -2.878839306184493E+01,  1.901613348888276E-03,  4.991038685558084E+02,  1.496275755516547E+08,  5.102652556602659E-01,
2460009.916666667, A.D. 2023-Mar-06 10:00:00.0000, -1.448386755211032E+08,  3.772785826874558E+07,  3.026762758469768E+04, -8.063687979109375E+00, -2.892404717562729E+01,  2.120606012267601E-03,  4.992512340804867E+02,  1.496717546245225E+08,  5.123986064516548E-01,
2460010.916666667, A.D. 2023-Mar-07 10:00:00.0000, -1.455136989069176E+08,  3.522326257764801E+07,  3.045957167107612E+04, -7.561561185866785E+00, -2.905130911485861E+01,  2.318200221989031E-03,  4.993992114202341E+02,  1.497161171149336E+08,  5.144998453414525E-01,
2460011.916666667, A.D. 2023-Mar-08 10:00:00.0000, -1.461452636789169E+08,  3.270803286338549E+07,  3.066733003289625E+04, -7.057711153651094E+00, -2.917020913758775E+01,  2.485166771126757E-03,  4.995477812085785E+02,  1.497606572169660E+08,  5.164972968654322E-01,
2460012.916666667, A.D. 2023-Mar-09 10:00:00.0000, -1.467332232363354E+08,  3.018289077727715E+07,  3.088787414721027E+04, -6.552188567666375E+00, -2.928076344465437E+01,  2.612779520751118E-03,  4.996969021740604E+02,  1.498053625577471E+08,  5.183108417359676E-01,
2460013.916666667, A.D. 2023-Mar-10 10:00:00.0000, -1.472774348177282E+08,  2.764855734612047E+07,  3.111746082994156E+04, -6.045032184348520E+00, -2.938296956375018E+01,  2.693307186037330E-03,  4.998465089485873E+02,  1.498502135404160E+08,  5.198537692218197E-01,
2460014.916666667, A.D. 2023-Mar-11 10:00:00.0000, -1.477777586363266E+08,  2.510575476299207E+07,  3.135174053026736E+04, -5.536272875253080E+00, -2.947680237931251E+01,  2.720530723271608E-03,  4.999965105426409E+02,  1.498951828870012E+08,  5.210354913409093E-01,
2460015.916666667, A.D. 2023-Mar-12 10:00:00.0000, -1.482340574111700E+08,  2.255520848412031E+07,  3.158590999181382E+04, -5.025938684332957E+00, -2.956221102120243E+01,  2.690249460156835E-03,  5.001467896857204E+02,  1.499402354406911E+08,  5.217647910695361E-01,
2460016.916666667, A.D. 2023-Mar-13 10:00:00.0000, -1.486461963702049E+08,  1.999764956093394E+07,  3.181490793441050E+04, -4.514060694653065E+00, -2.963911649643090E+01,  2.600773257626088E-03,  5.002972031651319E+02,  1.499853282674003E+08,  5.219535210596941E-01,
2460017.916666667, A.D. 2023-Mar-14 10:00:00.0000, -1.490140438025209E+08,  1.743381715129171E+07,  3.203365349146724E+04, -4.000679960280488E+00, -2.970740990346969E+01,  2.453424835689333E-03,  5.004475833318419E+02,  1.500304111072127E+08,  5.215211006906363E-01,
