*******************************************************************************
JPL/HORIZONS               15760 Albion (1992 QB1)         2024-May-13 03:17:31
Rec #:   15760 (+COV) Soln.date: 2023-Feb-09_19:36:46     # obs: 96 (1992-2022)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456220.5 ! 2012-Oct-20.00 (TDB)         Residual RMS= .32613
   EC= .07339058260445568  QR= 40.93039676880561   TP= 2450220.1273346744
   OM= 359.4285368278592   W=  5.634491467132836   IN= 2.186402706500573
   A= 44.172221866523      MA= 20.14458990227914   ADIST= 47.4140469642404
   PER= 293.58379          N= .003357223           ANGMOM= .114020597
   DAN= 40.94392           DDN= 47.39591           L= 5.0589527
   B= .2146138             MOID= 39.9280014        TP= 1996-May-16.6273346744
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 7.18                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#8, OCC=3
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon May 13 03:17:31 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 15760 Albion (1992 QB1)         {source: JPL#8}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2300-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1x (position w/uncertainties: XYZ)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456220.5 ! 2012-Oct-20.00 (TDB)         Residual RMS= .32613        
   EC= .07339058260445568  QR= 40.93039676880561   TP= 2450220.1273346744      
   OM= 359.4285368278592   W=  5.634491467132836   IN= 2.186402706500573       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 3.621514503006385E+01  Y= 1.763068833624581E+01  Z= 8.472176056660903E+00
  VX=-1.250159457696254E-03 VY= 2.230124810091423E-03 VZ= 1.069193909871817E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 7.18                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000, -2.364150127663096E+01, -3.881465669597791E+01, -1.490116827608865E+00,  3.65553020E-03,  6.86052451E-03,  2.62027317E-04,
2415385.500000000, A.D. 1901-Jan-01 00:00:00.0000, -2.282457967959158E+01, -3.923512058721063E+01, -1.505891777634215E+00,  3.68767867E-03,  6.68699590E-03,  2.55505909E-04,
2415750.500000000, A.D. 1902-Jan-01 00:00:00.0000, -2.199793069781791E+01, -3.963761271585337E+01, -1.521041103727593E+00,  3.71581284E-03,  6.51496365E-03,  2.49050291E-04,
2416115.500000000, A.D. 1903-Jan-01 00:00:00.0000, -2.116260616304167E+01, -4.002197790059301E+01, -1.535538686727932E+00,  3.74001095E-03,  6.34451855E-03,  2.42664197E-04,
2416480.500000000, A.D. 1904-Jan-01 00:00:00.0000, -2.031956469680176E+01, -4.038845593960656E+01, -1.549359159448735E+00,  3.76035350E-03,  6.17574883E-03,  2.36351285E-04,
2416846.500000000, A.D. 1905-Jan-01 00:00:00.0000, -1.946707473216233E+01, -4.073855915394420E+01, -1.562519486708352E+00,  3.77696328E-03,  6.00828485E-03,  2.30098145E-04,
2417211.500000000, A.D. 1906-Jan-01 00:00:00.0000, -1.860990640692679E+01, -4.107098679281943E+01, -1.574940294984829E+00,  3.78983427E-03,  5.84312422E-03,  2.23942417E-04,
2417576.500000000, A.D. 1907-Jan-01 00:00:00.0000, -1.774543868048081E+01, -4.138702129810569E+01, -1.586662330515093E+00,  3.79910364E-03,  5.67988610E-03,  2.17870262E-04,
2417941.500000000, A.D. 1908-Jan-01 00:00:00.0000, -1.687325461317443E+01, -4.168654358764783E+01, -1.597694299510887E+00,  3.80486004E-03,  5.51864650E-03,  2.11884918E-04,
2418307.500000000, A.D. 1909-Jan-01 00:00:00.0000, -1.599067532922585E+01, -4.196980281474466E+01, -1.608070058877772E+00,  3.80719582E-03,  5.35904523E-03,  2.05973495E-04,
2418672.500000000, A.D. 1910-Jan-01 00:00:00.0000, -1.510250208171149E+01, -4.223454556158552E+01, -1.617736062955157E+00,  3.80619066E-03,  5.20202452E-03,  2.00171333E-04,
2419037.500000000, A.D. 1911-Jan-01 00:00:00.0000, -1.420661636860904E+01, -4.248081660390413E+01, -1.626718249731335E+00,  3.80194925E-03,  5.04721233E-03,  1.94465087E-04,
2419402.500000000, A.D. 1912-Jan-01 00:00:00.0000, -1.330355192943966E+01, -4.270787447834174E+01, -1.635007764648610E+00,  3.79456653E-03,  4.89467226E-03,  1.88857573E-04,
2419768.500000000, A.D. 1913-Jan-01 00:00:00.0000, -1.239157498256772E+01, -4.291566719818241E+01, -1.642611124090511E+00,  3.78410606E-03,  4.74405611E-03,  1.83336533E-04,
2420133.500000000, A.D. 1914-Jan-01 00:00:00.0000, -1.147665195660195E+01, -4.310268207442092E+01, -1.649467409978818E+00,  3.77072287E-03,  4.59624357E-03,  1.77934687E-04,
2420498.500000000, A.D. 1915-Jan-01 00:00:00.0000, -1.055735505501899E+01, -4.326947741135016E+01, -1.655577231720813E+00,  3.75449146E-03,  4.45087303E-03,  1.72639232E-04,
2420863.500000000, A.D. 1916-Jan-01 00:00:00.0000, -9.634626004015246E+00, -4.341642850925142E+01, -1.660920879570218E+00,  3.73551185E-03,  4.30799448E-03,  1.67452473E-04,
2421229.500000000, A.D. 1917-Jan-01 00:00:00.0000, -8.706496676010385E+00, -4.354451011182435E+01, -1.665497261680160E+00,  3.71382195E-03,  4.16727366E-03,  1.62362848E-04,
2421594.500000000, A.D. 1918-Jan-01 00:00:00.0000, -7.778088455471563E+00, -4.365364948094896E+01, -1.669281728339913E+00,  3.68964188E-03,  4.02952286E-03,  1.57400226E-04,
2421959.500000000, A.D. 1919-Jan-01 00:00:00.0000, -6.846567859488107E+00, -4.374452641022819E+01, -1.672297591986497E+00,  3.66301795E-03,  3.89439370E-03,  1.52552460E-04,
2422324.500000000, A.D. 1920-Jan-01 00:00:00.0000, -5.911570937370605E+00, -4.381697186899982E+01, -1.674558005253921E+00,  3.63405276E-03,  3.76192222E-03,  1.47821310E-04,
2422690.500000000, A.D. 1921-Jan-01 00:00:00.0000, -4.970317185999597E+00, -4.387060820477804E+01, -1.676078189178738E+00,  3.60276094E-03,  3.63178907E-03,  1.43195917E-04,
2423055.500000000, A.D. 1922-Jan-01 00:00:00.0000, -4.028054832288222E+00, -4.390445237108085E+01, -1.676855272086974E+00,  3.56941719E-03,  3.50473453E-03,  1.38703030E-04,
2423420.500000000, A.D. 1923-Jan-01 00:00:00.0000, -3.082588520775281E+00, -4.391793340963380E+01, -1.676894846651857E+00,  3.53404259E-03,  3.38042513E-03,  1.34331176E-04,
2423785.500000000, A.D. 1924-Jan-01 00:00:00.0000, -2.134571870363814E+00, -4.391038457720868E+01, -1.676191195433206E+00,  3.49674064E-03,  3.25888326E-03,  1.30081526E-04,
2424151.500000000, A.D. 1925-Jan-01 00:00:00.0000, -1.182302604890266E+00, -4.388115634956889E+01, -1.674727084366383E+00,  3.45750496E-03,  3.13980622E-03,  1.25943946E-04,
2424516.500000000, A.D. 1926-Jan-01 00:00:00.0000, -2.320678410727084E-01, -4.383012917971227E+01, -1.672494432049994E+00,  3.41665315E-03,  3.02385985E-03,  1.21941853E-04,
2424881.500000000, A.D. 1927-Jan-01 00:00:00.0000,  7.175659560521236E-01, -4.375734702850136E+01, -1.669470698964165E+00,  3.37418326E-03,  2.91072639E-03,  1.18064385E-04,
2425246.500000000, A.D. 1928-Jan-01 00:00:00.0000,  1.665580395904626E+00, -4.366329903192541E+01, -1.665638340214727E+00,  3.33019770E-03,  2.80041390E-03,  1.14311967E-04,
2425612.500000000, A.D. 1929-Jan-01 00:00:00.0000,  2.613965738081767E+00, -4.354841332384159E+01, -1.660975162401959E+00,  3.28467201E-03,  2.69263653E-03,  1.10675064E-04,
2425977.500000000, A.D. 1930-Jan-01 00:00:00.0000,  3.557426599599775E+00, -4.341403864217632E+01, -1.655509201264873E+00,  3.23795610E-03,  2.58798454E-03,  1.07173566E-04,
2426342.500000000, A.D. 1931-Jan-01 00:00:00.0000,  4.498799354411370E+00, -4.326023324164760E+01, -1.649241535309905E+00,  3.19002749E-03,  2.48615736E-03,  1.03797151E-04,
2426707.500000000, A.D. 1932-Jan-01 00:00:00.0000,  5.438357192337010E+00, -4.308693324751871E+01, -1.642188147297536E+00,  3.14098523E-03,  2.38714917E-03,  1.00545362E-04,
2427073.500000000, A.D. 1933-Jan-01 00:00:00.0000,  6.378734174258414E+00, -4.289317197136234E+01, -1.634338918757307E+00,  3.09078899E-03,  2.29069102E-03,  9.74090995E-05,
2427438.500000000, A.D. 1934-Jan-01 00:00:00.0000,  7.314604023628987E+00, -4.267945288522991E+01, -1.625745457184379E+00,  3.03981027E-03,  2.19729739E-03,  9.44045521E-05,
2427803.500000000, A.D. 1935-Jan-01 00:00:00.0000,  8.248049459443466E+00, -4.244470351108254E+01, -1.616389307080948E+00,  2.98800906E-03,  2.10668520E-03,  9.15217877E-05,
2428168.500000000, A.D. 1936-Jan-01 00:00:00.0000,  9.178334491653590E+00, -4.218841015355034E+01, -1.606266997036786E+00,  2.93547968E-03,  2.01883571E-03,  8.87593580E-05,
2428534.500000000, A.D. 1937-Jan-01 00:00:00.0000,  1.010703026961478E+01, -4.190944216573215E+01, -1.595339499190284E+00,  2.88216834E-03,  1.93349771E-03,  8.61084655E-05,
2428899.500000000, A.D. 1938-Jan-01 00:00:00.0000,  1.102791452212221E+01, -4.160925390895787E+01, -1.583652989386080E+00,  2.82845743E-03,  1.85111251E-03,  8.35815920E-05,
2429264.500000000, A.D. 1939-Jan-01 00:00:00.0000,  1.194235495716271E+01, -4.128741068442366E+01, -1.571163935244393E+00,  2.77429124E-03,  1.77141501E-03,  8.11690463E-05,
2429629.500000000, A.D. 1940-Jan-01 00:00:00.0000,  1.284937557364537E+01, -4.094463301394062E+01, -1.557861184980680E+00,  2.71975711E-03,  1.69437406E-03,  7.88682663E-05,
2429995.500000000, A.D. 1941-Jan-01 00:00:00.0000,  1.375087770919617E+01, -4.058083952140880E+01, -1.543702362103076E+00,  2.66478999E-03,  1.61975546E-03,  7.66705666E-05,
2430360.500000000, A.D. 1942-Jan-01 00:00:00.0000,  1.464192147272673E+01, -4.019885137441914E+01, -1.528776067024604E+00,  2.60977373E-03,  1.54793034E-03,  7.45848581E-05,
2430725.500000000, A.D. 1943-Jan-01 00:00:00.0000,  1.552525211131905E+01, -3.979816056498309E+01, -1.513064260618922E+00,  2.55463950E-03,  1.47865203E-03,  7.26016356E-05,
2431090.500000000, A.D. 1944-Jan-01 00:00:00.0000,  1.640114960513471E+01, -3.937876285915126E+01, -1.496588870534085E+00,  2.49946597E-03,  1.41187859E-03,  7.07172956E-05,
2431456.500000000, A.D. 1945-Jan-01 00:00:00.0000,  1.727206685267323E+01, -3.893914419941009E+01, -1.479321994812312E+00,  2.44417852E-03,  1.34739260E-03,  6.89232265E-05,
