*******************************************************************************
JPL/HORIZONS             486958 Arrokoth (2014 MU69)       2024-May-13 03:24:01
Rec #:  486958 (+COV) Soln.date: 2024-Feb-21_21:21:36    # obs: 112 (2014-2018)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458101.5 ! 2017-Dec-14.00 (TDB)         Residual RMS= .00066411
   EC= .03868645692376498  QR= 42.72577233600888   TP= 2472213.5237931227
   OM= 158.939446659904    W=  176.1507602341478   IN= 2.45301305206896
   A= 44.44519963724322    MA= 313.05859524999     ADIST= 46.16462693847756
   PER= 296.30944          N= .003326341           ANGMOM= .114595783
   DAN= 46.16044           DDN= 42.72936           L= 335.0937235
   B= .1646241             MOID= 41.71509933       TP= 2056-Aug-03.0237931227
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= 15.918
   H= 11.06                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#3, OCC=4
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon May 13 03:24:01 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 486958 Arrokoth (2014 MU69)     {source: JPL#3}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2300-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1x (position w/uncertainties: XYZ)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458101.5 ! 2017-Dec-14.00 (TDB)         Residual RMS= .00066411     
   EC= .03868645692376498  QR= 42.72577233600888   TP= 2472213.5237931227      
   OM= 158.939446659904    W=  176.1507602341478   IN= 2.45301305206896        
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.107531870632331E+01  Y=-3.898605591950117E+01  Z=-1.526520060141716E+01
  VX= 2.538087724131930E-03 VY= 7.145491198143598E-04 VZ= 2.345763606455680E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= 15.918              
   H= 11.06                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000, -3.765828881683374E+01,  2.605668355188560E+01, -4.653946428213239E-01,  3.49667158E-02,  3.96251344E-02,  2.10827434E-03,
2415385.500000000, A.D. 1901-Jan-01 00:00:00.0000, -3.817536328719278E+01,  2.530808988206705E+01, -4.276324092829205E-01,  3.42413977E-02,  3.99015417E-02,  2.11022332E-03,
2415750.500000000, A.D. 1902-Jan-01 00:00:00.0000, -3.867665707214655E+01,  2.455053450027847E+01, -3.897039834278489E-01,  3.35105666E-02,  4.01588320E-02,  2.11126899E-03,
2416115.500000000, A.D. 1903-Jan-01 00:00:00.0000, -3.916271151690880E+01,  2.378425917701863E+01, -3.516076019876873E-01,  3.27748350E-02,  4.03967484E-02,  2.11141414E-03,
2416480.500000000, A.D. 1904-Jan-01 00:00:00.0000, -3.963397502479134E+01,  2.300911825167827E+01, -3.133421404495655E-01,  3.20348190E-02,  4.06150665E-02,  2.11066258E-03,
2416846.500000000, A.D. 1905-Jan-01 00:00:00.0000, -4.009177575600565E+01,  2.222247220765710E+01, -2.748082091990719E-01,  3.12890965E-02,  4.08141098E-02,  2.10901338E-03,
2417211.500000000, A.D. 1906-Jan-01 00:00:00.0000, -4.053321386669450E+01,  2.142811782444169E+01, -2.362329654475348E-01,  3.05423672E-02,  4.09926272E-02,  2.10648133E-03,
2417576.500000000, A.D. 1907-Jan-01 00:00:00.0000, -4.095875040141620E+01,  2.062373530134272E+01, -1.975389795179053E-01,  2.97932252E-02,  4.11510547E-02,  2.10306979E-03,
2417941.500000000, A.D. 1908-Jan-01 00:00:00.0000, -4.136745970261438E+01,  1.980957111056671E+01, -1.587585463129077E-01,  2.90422990E-02,  4.12892844E-02,  2.09878629E-03,
2418307.500000000, A.D. 1909-Jan-01 00:00:00.0000, -4.175962351308308E+01,  1.898399419737220E+01, -1.198150242931001E-01,  2.82881556E-02,  4.14075308E-02,  2.09362391E-03,
2418672.500000000, A.D. 1910-Jan-01 00:00:00.0000, -4.213256819373560E+01,  1.815236544528077E+01, -8.094760578032388E-02,  2.75355453E-02,  4.15050948E-02,  2.08762017E-03,
2419037.500000000, A.D. 1911-Jan-01 00:00:00.0000, -4.248716479753649E+01,  1.731334614604135E+01, -4.206961023891129E-02,  2.67830366E-02,  4.15823019E-02,  2.08077235E-03,
2419402.500000000, A.D. 1912-Jan-01 00:00:00.0000, -4.282344139097628E+01,  1.646783853370150E+01, -3.194987514611329E-03,  2.60312586E-02,  4.16391529E-02,  2.07309146E-03,
2419768.500000000, A.D. 1913-Jan-01 00:00:00.0000, -4.314250635293828E+01,  1.561426518833514E+01,  3.577343905997152E-02,  2.52787869E-02,  4.16757446E-02,  2.06456489E-03,
2420133.500000000, A.D. 1914-Jan-01 00:00:00.0000, -4.344309342114195E+01,  1.475784719076251E+01,  7.461980848674657E-02,  2.45303625E-02,  4.16919249E-02,  2.05525179E-03,
2420498.500000000, A.D. 1915-Jan-01 00:00:00.0000, -4.372665026616777E+01,  1.389648491054078E+01,  1.134498213565470E-01,  2.37845524E-02,  4.16878933E-02,  2.04514325E-03,
2420863.500000000, A.D. 1916-Jan-01 00:00:00.0000, -4.399361515539332E+01,  1.302999987805273E+01,  1.522615246172672E-01,  2.30419785E-02,  4.16637446E-02,  2.03425326E-03,
2421229.500000000, A.D. 1917-Jan-01 00:00:00.0000, -4.424472069770257E+01,  1.215554978589990E+01,  1.911522385941786E-01,  2.23012420E-02,  4.16194491E-02,  2.02256357E-03,
2421594.500000000, A.D. 1918-Jan-01 00:00:00.0000, -4.447814286073339E+01,  1.127750088501376E+01,  2.298879106735905E-01,  2.15670085E-02,  4.15553902E-02,  2.01015352E-03,
2421959.500000000, A.D. 1919-Jan-01 00:00:00.0000, -4.469379011395687E+01,  1.039339205301652E+01,  2.685443015451861E-01,  2.08378625E-02,  4.14716369E-02,  1.99700827E-03,
2422324.500000000, A.D. 1920-Jan-01 00:00:00.0000, -4.489080062320863E+01,  9.503626125778617E+00,  3.070878083725605E-01,  2.01144152E-02,  4.13683722E-02,  1.98314450E-03,
2422690.500000000, A.D. 1921-Jan-01 00:00:00.0000, -4.506893364689212E+01,  8.606486900045761E+00,  3.455912333911780E-01,  1.93953178E-02,  4.12454366E-02,  1.96853861E-03,
2423055.500000000, A.D. 1922-Jan-01 00:00:00.0000, -4.522682434572621E+01,  7.707819706438386E+00,  3.838189373566648E-01,  1.86851032E-02,  4.11037257E-02,  1.95328829E-03,
