*******************************************************************************
JPL/HORIZONS              50000 Quaoar (2002 LM60)         2024-May-13 03:25:02
Rec #:   50000 (+COV) Soln.date: 2024-Feb-21_12:06:44   # obs: 1042 (1954-2023)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2457581.5 ! 2016-Jul-12.00 (TDB)         Residual RMS= .12701
   EC= .03509417418263406  QR= 41.9098283798434    TP= 2477807.9365868634
   OM= 188.7599405817442   W=  153.0669775478135   IN= 7.98669958711011
   A= 43.43411269627462    MA= 290.3570722464319   ADIST= 44.95839701270584
   PER= 286.25602          N= .003443163           ANGMOM= .113299845
   DAN= 44.78174           DDN= 42.06452           L= 342.0517872
   B= 3.6082452            MOID= 40.90370178       TP= 2071-Nov-27.4365868634
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= 8.84
   H= 2.42                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#47, OCC=0
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon May 13 03:25:02 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 50000 Quaoar (2002 LM60)        {source: JPL#47}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2300-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1x (position w/uncertainties: XYZ)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457581.5 ! 2016-Jul-12.00 (TDB)         Residual RMS= .12701        
   EC= .03509417418263406  QR= 41.9098283798434    TP= 2477807.9365868634      
   OM= 188.7599405817442   W=  153.0669775478135   IN= 7.98669958711011        
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.293067333884553E+00  Y=-4.135454427574943E+01  Z=-1.153169122595346E+01
  VX= 2.638700628400323E-03 VY=-6.875148081004969E-06 VZ= 5.605625712799304E-05
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= 8.84                
   H= 2.42                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000, -2.737768585937905E+01,  3.472040538478639E+01, -5.410979522609548E+00,  2.69944740E-04,  1.27438056E-04,  1.26639404E-05,
2415385.500000000, A.D. 1901-Jan-01 00:00:00.0000, -2.811390118364544E+01,  3.416230270614299E+01, -5.349869040032157E+00,  2.65840940E-04,  1.30505158E-04,  1.31653188E-05,
2415750.500000000, A.D. 1902-Jan-01 00:00:00.0000, -2.883747769450861E+01,  3.359040044033276E+01, -5.286382562931777E+00,  2.61678008E-04,  1.33457806E-04,  1.36554598E-05,
2416115.500000000, A.D. 1903-Jan-01 00:00:00.0000, -2.954884827698839E+01,  3.300489901916485E+01, -5.220534244107133E+00,  2.57460044E-04,  1.36293725E-04,  1.41334039E-05,
2416480.500000000, A.D. 1904-Jan-01 00:00:00.0000, -3.024835292819023E+01,  3.240561372490235E+01, -5.152339777419912E+00,  2.53191152E-04,  1.39010971E-04,  1.45983372E-05,
2416846.500000000, A.D. 1905-Jan-01 00:00:00.0000, -3.093784807132539E+01,  3.179032952013824E+01, -5.081626614713891E+00,  2.48863547E-04,  1.41614842E-04,  1.50507824E-05,
2417211.500000000, A.D. 1906-Jan-01 00:00:00.0000, -3.161305877490167E+01,  3.116187170080456E+01, -5.008816314589132E+00,  2.44504988E-04,  1.44089719E-04,  1.54876718E-05,
2417576.500000000, A.D. 1907-Jan-01 00:00:00.0000, -3.227496651517695E+01,  3.051836213121142E+01, -4.933765713710573E+00,  2.40107801E-04,  1.46441737E-04,  1.59097509E-05,
2417941.500000000, A.D. 1908-Jan-01 00:00:00.0000, -3.292253712740790E+01,  2.986001559182984E+01, -4.856527042056687E+00,  2.35676054E-04,  1.48669977E-04,  1.63165826E-05,
2418307.500000000, A.D. 1909-Jan-01 00:00:00.0000, -3.355660849646993E+01,  2.918557726102020E+01, -4.776930467995993E+00,  2.31201518E-04,  1.50779326E-04,  1.67088457E-05,
2418672.500000000, A.D. 1910-Jan-01 00:00:00.0000, -3.417307716264938E+01,  2.849955461600046E+01, -4.695458968154756E+00,  2.26712666E-04,  1.52757769E-04,  1.70840823E-05,
2419037.500000000, A.D. 1911-Jan-01 00:00:00.0000, -3.477336407215822E+01,  2.780100351500128E+01, -4.611940055062925E+00,  2.22201300E-04,  1.54610943E-04,  1.74431222E-05,
2419402.500000000, A.D. 1912-Jan-01 00:00:00.0000, -3.535738920945683E+01,  2.709080245924070E+01, -4.526410820478701E+00,  2.17671384E-04,  1.56338726E-04,  1.77857449E-05,
2419768.500000000, A.D. 1913-Jan-01 00:00:00.0000, -3.592683964907197E+01,  2.636770106909625E+01, -4.438661879879742E+00,  2.13114382E-04,  1.57945376E-04,  1.81126389E-05,
2420133.500000000, A.D. 1914-Jan-01 00:00:00.0000, -3.647897307610284E+01,  2.563618661924037E+01, -4.349200121285183E+00,  2.08559085E-04,  1.59422314E-04,  1.84218722E-05,
