*******************************************************************************
JPL/HORIZONS            79360 Sila-Nunam (1997 CS29)       2024-May-13 03:29:43
Rec #:   79360 (+COV) Soln.date: 2024-Feb-22_01:39:00    # obs: 546 (1997-2024)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2457469.5 ! 2016-Mar-22.00 (TDB)         Residual RMS= .14585
   EC= .01638916709502933  QR= 43.38005347728114   TP= 2466114.2123005944
   OM= 304.3467872918259   W=  223.8255898261761   IN= 2.241789831130051
   A= 44.10286266283141    MA= 330.9092814629059   ADIST= 44.82567184838169
   PER= 292.89258          N= .003365146           ANGMOM= .114223772
   DAN= 44.61859           DDN= 43.57578           L= 168.1504619
   B= -1.5521558           MOID= 42.38740158       TP= 2039-Nov-21.7123005944
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= 300.24
   H= 5.28                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#29, OCC=2
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon May 13 03:29:43 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 79360 Sila-Nunam (1997 CS29)    {source: JPL#29}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2300-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1x (position w/uncertainties: XYZ)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457469.5 ! 2016-Mar-22.00 (TDB)         Residual RMS= .14585        
   EC= .01638916709502933  QR= 43.38005347728114   TP= 2466114.2123005944      
   OM= 304.3467872918259   W=  223.8255898261761   IN= 2.241789831130051       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-3.237803628724799E+01  Y= 2.677622557858265E+01  Z= 1.116662821044414E+01
  VX=-1.735454943252472E-03 VY=-1.768061975952623E-03 VZ=-8.751151715883310E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= 300.24              
   H= 5.28                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000,  4.412259113566652E+01, -4.091696839904151E+00,  1.337711164419658E+00,  1.57381994E-03,  2.21695496E-03,  1.01009264E-04,
2415385.500000000, A.D. 1901-Jan-01 00:00:00.0000,  4.420127617147622E+01, -3.157280718265823E+00,  1.360786992981226E+00,  1.51420950E-03,  2.20201944E-03,  9.88436226E-05,
2415750.500000000, A.D. 1902-Jan-01 00:00:00.0000,  4.426004290406518E+01, -2.220004676154508E+00,  1.383237030718187E+00,  1.45575825E-03,  2.18595833E-03,  9.66956013E-05,
2416115.500000000, A.D. 1903-Jan-01 00:00:00.0000,  4.429812675282714E+01, -1.280369337184737E+00,  1.405068499038916E+00,  1.39848323E-03,  2.16881822E-03,  9.45669196E-05,
2416480.500000000, A.D. 1904-Jan-01 00:00:00.0000,  4.431487078444699E+01, -3.392661564402736E-01,  1.426288259118632E+00,  1.34239987E-03,  2.15064555E-03,  9.24592455E-05,
2416846.500000000, A.D. 1905-Jan-01 00:00:00.0000,  4.430994116193867E+01,  6.046570771003629E-01,  1.446951884648969E+00,  1.28737328E-03,  2.13143290E-03,  9.03685081E-05,
2417211.500000000, A.D. 1906-Jan-01 00:00:00.0000,  4.428358520660876E+01,  1.544986249303049E+00,  1.466936313800342E+00,  1.23371637E-03,  2.11133167E-03,  8.83076855E-05,
2417576.500000000, A.D. 1907-Jan-01 00:00:00.0000,  4.423646662706230E+01,  2.483361170663512E+00,  1.486277965102189E+00,  1.18128786E-03,  2.09033690E-03,  8.62725283E-05,
2417941.500000000, A.D. 1908-Jan-01 00:00:00.0000,  4.416936288905555E+01,  3.419269678142824E+00,  1.504951577054661E+00,  1.13009709E-03,  2.06849456E-03,  8.42644775E-05,
2418307.500000000, A.D. 1909-Jan-01 00:00:00.0000,  4.408264243099105E+01,  4.355141159686733E+00,  1.522982948583128E+00,  1.08001685E-03,  2.04578716E-03,  8.22795310E-05,
2418672.500000000, A.D. 1910-Jan-01 00:00:00.0000,  4.397719136803501E+01,  5.285947127372343E+00,  1.540254807679537E+00,  1.03132729E-03,  2.02238416E-03,  8.03298559E-05,
2419037.500000000, A.D. 1911-Jan-01 00:00:00.0000,  4.385292167809300E+01,  6.214388789353690E+00,  1.556805699466020E+00,  9.83894887E-04,  1.99826955E-03,  7.84112400E-05,
2419402.500000000, A.D. 1912-Jan-01 00:00:00.0000,  4.370971880105182E+01,  7.140602213327610E+00,  1.572630011335181E+00,  9.37723331E-04,  1.97348786E-03,  7.65248689E-05,
2419768.500000000, A.D. 1913-Jan-01 00:00:00.0000,  4.354677835347862E+01,  8.067109789847175E+00,  1.587767506174530E+00,  8.92693748E-04,  1.94801283E-03,  7.46668338E-05,
2420133.500000000, A.D. 1914-Jan-01 00:00:00.0000,  4.336445662807449E+01,  8.988634484791000E+00,  1.602141530880170E+00,  8.49053474E-04,  1.92202745E-03,  7.28483486E-05,
2420498.500000000, A.D. 1915-Jan-01 00:00:00.0000,  4.316174148839036E+01,  9.907165893517870E+00,  1.615802872981785E+00,  8.06677950E-04,  1.89550606E-03,  7.10652862E-05,
2420863.500000000, A.D. 1916-Jan-01 00:00:00.0000,  4.293816710738804E+01,  1.082175528245824E+01,  1.628759055174081E+00,  7.65566341E-04,  1.86849116E-03,  6.93185763E-05,
2421229.500000000, A.D. 1917-Jan-01 00:00:00.0000,  4.269295332192556E+01,  1.173367086416650E+01,  1.641043553440053E+00,  7.25609296E-04,  1.84094867E-03,  6.76044424E-05,
2421594.500000000, A.D. 1918-Jan-01 00:00:00.0000,  4.242789545282020E+01,  1.263674562827944E+01,  1.652577840164080E+00,  6.87022195E-04,  1.81307032E-03,  6.59330290E-05,
2421959.500000000, A.D. 1919-Jan-01 00:00:00.0000,  4.214317137728133E+01,  1.353262903454441E+01,  1.663376344756895E+00,  6.49690291E-04,  1.78482193E-03,  6.43003014E-05,
2422324.500000000, A.D. 1920-Jan-01 00:00:00.0000,  4.183967639341100E+01,  1.442095416276253E+01,  1.673416173849300E+00,  6.13609024E-04,  1.75624326E-03,  6.27068871E-05,
2422690.500000000, A.D. 1921-Jan-01 00:00:00.0000,  4.151725367397581E+01,  1.530409587421682E+01,  1.682700394592655E+00,  5.78679474E-04,  1.72729382E-03,  6.11491363E-05,
2423055.500000000, A.D. 1922-Jan-01 00:00:00.0000,  4.117811949416189E+01,  1.617740233592613E+01,  1.691164292490659E+00,  5.45086744E-04,  1.69817000E-03,  5.96360319E-05,
2423420.500000000, A.D. 1923-Jan-01 00:00:00.0000,  4.082161732722732E+01,  1.704353679450857E+01,  1.698825986510327E+00,  5.12727455E-04,  1.66883034E-03,  5.81636460E-05,
2423785.500000000, A.D. 1924-Jan-01 00:00:00.0000,  4.044767808217571E+01,  1.790267329103105E+01,  1.705683943480205E+00,  4.81595021E-04,  1.63931123E-03,  5.67322739E-05,
2424151.500000000, A.D. 1925-Jan-01 00:00:00.0000,  4.005490038645419E+01,  1.875719563187296E+01,  1.711759298326140E+00,  4.51602399E-04,  1.60956676E-03,  5.53383699E-05,
2424516.500000000, A.D. 1926-Jan-01 00:00:00.0000,  3.964495836402874E+01,  1.960224369336903E+01,  1.717029078824652E+00,  4.22906759E-04,  1.57979419E-03,  5.39896690E-05,
2424881.500000000, A.D. 1927-Jan-01 00:00:00.0000,  3.921625907570454E+01,  2.043961168347563E+01,  1.721525421706375E+00,  3.95418075E-04,  1.54994616E-03,  5.26823360E-05,
2425246.500000000, A.D. 1928-Jan-01 00:00:00.0000,  3.876841844323625E+01,  2.126836721860217E+01,  1.725261395804906E+00,  3.69130494E-04,  1.52005544E-03,  5.14163119E-05,
2425612.500000000, A.D. 1929-Jan-01 00:00:00.0000,  3.830017969960165E+01,  2.208953975580367E+01,  1.728248641519293E+00,  3.43971843E-04,  1.49007187E-03,  5.01881441E-05,
2425977.500000000, A.D. 1930-Jan-01 00:00:00.0000,  3.781464789105762E+01,  2.289750355461512E+01,  1.730465199954667E+00,  3.20075559E-04,  1.46019006E-03,  4.90042903E-05,
2426342.500000000, A.D. 1931-Jan-01 00:00:00.0000,  3.731148117235765E+01,  2.369376941495961E+01,  1.731905289314700E+00,  2.97368631E-04,  1.43035782E-03,  4.78609886E-05,
2426707.500000000, A.D. 1932-Jan-01 00:00:00.0000,  3.679163337164412E+01,  2.447801321635712E+01,  1.732551413018190E+00,  2.75850310E-04,  1.40060391E-03,  4.67577978E-05,
2427073.500000000, A.D. 1933-Jan-01 00:00:00.0000,  3.625437371021064E+01,  2.525237079727491E+01,  1.732388851752745E+00,  2.55468139E-04,  1.37087501E-03,  4.56913260E-05,
2427438.500000000, A.D. 1934-Jan-01 00:00:00.0000,  3.570315365385201E+01,  2.601280730375104E+01,  1.731409720240856E+00,  2.36337885E-04,  1.34136031E-03,  4.46667758E-05,
